"scope","path","size_bytes","sha256"
"canonical_results","./results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/folds/fold_5/prediction_metadata.json","1958","df66562f1bce6a7504c3782f61d4ca220a2fe739eea931e7267ff8d6822ba0d4"
"canonical_results","./results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/folds/fold_5/predictions_dev.csv","3002199","71aa6efe11990edc261c5005deec9cb6ae0fb4ebb20ebd0e3d99b3037735df66"
"canonical_results","./results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/folds/fold_5/rfe_selection_trace.csv","609","d61de6fe88b6ecd8cfa32564c41c2b23c3b4eec881b41421c98499d34c09e0aa"
"canonical_results","./results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/folds/fold_5/selected_features.csv","548","6204303dd20154642395599630207df9db2550735421aa7bf05481a17fe25179"
"canonical_results","./results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/folds/fold_5/voter_rankings.csv","71865","db455fd66b13b063615e0ef5406465d8c62b6108448f60355a04980ce5ca24da"
"canonical_results","./results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/incomplete/attempt_history/attempt_01_resource_usage.json","1552","fd7a456b68906c1e492bac0c34496bed70e0fe9d4076983c53fe0cd0db04e76e"
"canonical_results","./results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/manifest.json","9486","5fdaebb73d0aba97480b57d78141658015910513fced4d1db13f06516abcf5af"
"canonical_results","./results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/preflight.json","4809","0ab71cce202b21c84a4e8ef0e4ad0ceda7aa293358ecdd85ebf680f93e041712"
"canonical_results","./results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/resource_usage.json","747497","cb28096a23e5b52f5a6a2f599cc0a156a607944acddbb8a34b10e6d0098b2373"
"canonical_results","./results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/results/dev_fold_metrics.csv","1496","29c865e93146dcdd0c5faefd86e9f04839731419194ed2108a0cc1adeb1aa1f8"
"canonical_results","./results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/results/dev_prediction_metadata.json","2068","fb159b627516ed8074c10b8e00da5b53b71eb9e2d35cb21c4df5173636d40627"
"canonical_results","./results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/results/dev_predictions.csv","15472547","9d1566dbf3c5665e30ac6c81e41cce1799135b9c526c0172bade05c93defa927"
"canonical_results","./results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/run.log","3330","c69284bc649caf1960dcbd34738837f775757db9184b0f6e1a49cdedd84d8705"
"canonical_results","./results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/run_manifest.json","9486","5fdaebb73d0aba97480b57d78141658015910513fced4d1db13f06516abcf5af"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/checkpoint.json","59105","b34db5a3330a726070f829e22f9ba83bff8b4b0eb0818a0e4ae7bc6e9364f905"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/config.json","1734","433595fbc52493485fd2f5323df3dbc77b536fb025056c5bdfe88fe9e9e3102d"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/data_access_dev.json","9866","6bc03e5485eccb76e15d3d57d7bf558073fdd9deec487afae9062d8ba74366d9"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/features/feature_stability_metrics.csv","113","67756f7ed8eb42b8f65be366a89ea0d0bea8a73dc284e29089efd6673db280c2"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/features/fold_selected_features.csv","2726","6683e16f4f3f02bed2f2548065a68f5d384a57c8ad662c0fde55c01fe4937d59"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/folds/fold_1/aggregate_ranking.csv","93519","58f0a5fff3ab765c89d47c9f567b9efe0921d44d20730ad9a136a59753e8c91e"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/folds/fold_1/candidate_features.csv","2879","71d41af9cd36cda0bb035c8355a3784a34954d23ac6eb005d6fb5956abbf9f69"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/folds/fold_1/effective_model_config.json","1568","43fb73f4227b6db7113faab6fad0392a6af6a9eeb68bca24b20f08d611540c52"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/folds/fold_1/prediction_metadata.json","1938","4435bd7abdc7a187a5c675f66238b34e500b02d0dd9c912083f31f3a755822ed"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/folds/fold_1/predictions_dev.csv","2936564","dd9c939794a5bee0cb30da883d3bf9483c3f98e6002ff4dcdcf6c4dd9ee6985c"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/folds/fold_1/rfe_selection_trace.csv","3979","225f605aa27874858d118c893d8a9b11fe6bc0437c3ee0ec26085bd079c8cb44"
"canonical_results","./results/runs/homecredit/cdv1-002-homecredit-voting-k100-lr-s42/folds/fold_1/selected_features.csv","602","64325da0764b652c2e2af950a2e638dbc5b9659de2550c6930b7b70ecc06e036"
