run_id,cell_id,cell_index,phase,dataset,fold_or_split,method_id,implementation_id,method_role,evaluation_model,candidate_universe_count,candidate_universe_hash,selected_feature_count,budget_semantics,requested_budget,natural_support,feasibility_state,seed,prediction_sha256,prediction_row_identity_sha256,identity_target_sha256,metric_artifact_sha256,configuration_lock_sha256,auc,gini,ks,lift_at_10,runtime_seconds,peak_process_rss_gib,minimum_available_ram_gib,ram_wait_seconds,warnings,terminal_state
fbv1-021-homecredit-lr-legacy-rf-relevance-corr-s42,fbv1-021-homecredit-lr-legacy-rf-relevance-corr-s42,21,oot,homecredit,locked_oot,legacy_rf_relevance_corr,rf_relevance_correlation_redundancy,selector,lr,529,unsupported_not_persisted_by_prompt_10,20,exact_budget,20.0,False,completed,42,5692ce58d4585ecd864135b2f94ec5f4230ea46bbc391e125bdb42645906b980,44dae0bae662ea5ebb863a1fdfe3f68878235f3117cc11e0409f147ddda36f95,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,833c7b2cba1fe882021f8d49f18951410c7948600497a7fea84bd88fbf136b70,f03647c376fe834f9bb1c3d6834ed42732ef3e7e1047eeff352af49b31ed607f,0.7447520668100092,0.4895041336200183,0.3597414543769408,3.0948794253073064,1735.0974403,8.860675811767578,8.049022674560547,0.0,,completed
fbv1-022-homecredit-catboost-legacy-rf-relevance-corr-s42,fbv1-022-homecredit-catboost-legacy-rf-relevance-corr-s42,22,oot,homecredit,locked_oot,legacy_rf_relevance_corr,rf_relevance_correlation_redundancy,selector,catboost,529,unsupported_not_persisted_by_prompt_10,40,exact_budget,40.0,False,completed,42,2b9a78d4b86a17b2164bf29e9c475d46ea9ae93528fecd3679522d3a5890860a,44dae0bae662ea5ebb863a1fdfe3f68878235f3117cc11e0409f147ddda36f95,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,093a2b6048d9567da36ff97a87c9289fcde7afa1c4d76568bf2cf7b370898338,f03647c376fe834f9bb1c3d6834ed42732ef3e7e1047eeff352af49b31ed607f,0.7698045497949377,0.5396090995898755,0.4070247209599454,3.4326217084197426,2008.9727562000044,8.572521209716797,6.948833465576172,0.0,,completed
fbv1-023-lendingclub_v2-lr-legacy-rf-relevance-corr-s42,fbv1-023-lendingclub_v2-lr-legacy-rf-relevance-corr-s42,23,oot,lendingclub_v2,locked_oot,legacy_rf_relevance_corr,rf_relevance_correlation_redundancy,selector,lr,675,unsupported_not_persisted_by_prompt_10,20,exact_budget,20.0,False,completed,42,cf99cad0547ee6ac89b4be02ad1aa4d0c7be8e6ce3f69993be09e2743a2fb2a2,58a4c0cae484435637172dabe24671608cf022babfd29425aba0879e68244714,e455f6dae0c55f6bd47aaeefde05ef6ad1468aa1053f9be7013b109c2b94c162,4971b31f97d6142c01bbeeacbb997c5e04f37c02153f5c9383dbd5930f6e8dd5,f03647c376fe834f9bb1c3d6834ed42732ef3e7e1047eeff352af49b31ed607f,0.6915457285238554,0.38309145704771086,0.2746720016199979,2.1078876194385128,1534.392534499988,22.941734313964844,6.128334045410156,0.0,,completed
fbv1-024-lendingclub_v2-catboost-legacy-rf-relevance-corr-s42,fbv1-024-lendingclub_v2-catboost-legacy-rf-relevance-corr-s42,24,oot,lendingclub_v2,locked_oot,legacy_rf_relevance_corr,rf_relevance_correlation_redundancy,selector,catboost,675,unsupported_not_persisted_by_prompt_10,40,exact_budget,40.0,False,completed,42,c252fa5e85d25d93507ce691eb1f1aa0ee6d2edd560546bc1c24e99776ea4b81,58a4c0cae484435637172dabe24671608cf022babfd29425aba0879e68244714,e455f6dae0c55f6bd47aaeefde05ef6ad1468aa1053f9be7013b109c2b94c162,2b7b7e0905a993f20c86ba3d9fc4ec73c9c173d9305af332aaee473a1cd4474d,f03647c376fe834f9bb1c3d6834ed42732ef3e7e1047eeff352af49b31ed607f,0.7071937974621152,0.4143875949242304,0.29724261731089063,2.194916551526264,2482.805767999991,18.612403869628906,10.358451843261719,0.0,,completed
fbv1-025-homecredit-lr-catboost-shap-s42,fbv1-025-homecredit-lr-catboost-shap-s42,25,oot,homecredit,locked_oot,catboost_shap,catboost_native_shap_regular_mean_abs_train_sample_v1,selector,lr,529,unsupported_not_persisted_by_prompt_10,20,exact_budget,20.0,False,completed,42,880ec9c9eeee514cf53dcd46c93a2bcc60fc56b9a341694d8933e74f82e59086,44dae0bae662ea5ebb863a1fdfe3f68878235f3117cc11e0409f147ddda36f95,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,2d154df379f51859341e5d9f30813e2a132bbd4ac9abcc13f73e5956f9149027,f03647c376fe834f9bb1c3d6834ed42732ef3e7e1047eeff352af49b31ed607f,0.7501298442067997,0.5002596884135995,0.3703826437099741,3.12388222524217,259.12606850000157,7.933174133300781,20.86617660522461,0.0,,completed
fbv1-026-homecredit-catboost-catboost-shap-s42,fbv1-026-homecredit-catboost-catboost-shap-s42,26,oot,homecredit,locked_oot,catboost_shap,catboost_native_shap_regular_mean_abs_train_sample_v1,selector,catboost,529,unsupported_not_persisted_by_prompt_10,40,exact_budget,40.0,False,completed,42,8ac6b8bb2538e0b80ac2ccc689c8a8748e2227faaf680d650f86d8b8c989641a,44dae0bae662ea5ebb863a1fdfe3f68878235f3117cc11e0409f147ddda36f95,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,6cdc478b60d37a53f47c942bb833e4617d196b409e951023efceb39d9606bbe1,f03647c376fe834f9bb1c3d6834ed42732ef3e7e1047eeff352af49b31ed607f,0.7795351956558697,0.5590703913117394,0.4199778214110799,3.5607953726480073,509.43676130000676,7.931484222412109,20.94228744506836,0.0,,completed
fbv1-027-lendingclub_v2-lr-catboost-shap-s42,fbv1-027-lendingclub_v2-lr-catboost-shap-s42,27,oot,lendingclub_v2,locked_oot,catboost_shap,catboost_native_shap_regular_mean_abs_train_sample_v1,selector,lr,675,unsupported_not_persisted_by_prompt_10,20,exact_budget,20.0,False,completed,42,e38928fd5bd6b4e28dfb1bb2a0b7546e7c5189c4d3e866402525109191262931,58a4c0cae484435637172dabe24671608cf022babfd29425aba0879e68244714,e455f6dae0c55f6bd47aaeefde05ef6ad1468aa1053f9be7013b109c2b94c162,c3aed8821ff0fca6662ebf144c0160336c88766af6efc84e88c28513762ebc27,f03647c376fe834f9bb1c3d6834ed42732ef3e7e1047eeff352af49b31ed607f,0.6965421682537228,0.3930843365074457,0.2815476773157388,2.1360181833456644,710.1681345999968,22.364009857177734,6.4377899169921875,0.0,,completed
fbv1-028-lendingclub_v2-catboost-catboost-shap-s42,fbv1-028-lendingclub_v2-catboost-catboost-shap-s42,28,oot,lendingclub_v2,locked_oot,catboost_shap,catboost_native_shap_regular_mean_abs_train_sample_v1,selector,catboost,675,unsupported_not_persisted_by_prompt_10,40,exact_budget,40.0,False,completed,42,c3b20fa84ae0c9b20df281f3c4d0b773cd3b6cfc88539210e8f58c0cdd3ad4c9,58a4c0cae484435637172dabe24671608cf022babfd29425aba0879e68244714,e455f6dae0c55f6bd47aaeefde05ef6ad1468aa1053f9be7013b109c2b94c162,06afecd253616198e592891bb6c0ad56f4914846271f874873354c992712c44a,f03647c376fe834f9bb1c3d6834ed42732ef3e7e1047eeff352af49b31ed607f,0.7151490967691265,0.43029819353825305,0.30863984411599943,2.246928792083758,1860.0032035999902,23.593677520751953,5.030559539794922,0.0,,completed
fbv1-029-homecredit-lr-boruta-random-forest-s42,fbv1-029-homecredit-lr-boruta-random-forest-s42,29,oot,homecredit,locked_oot,boruta_random_forest,boruta_random_forest_confirmed_tentative_v1,selector,lr,529,unsupported_not_persisted_by_prompt_10,20,natural_support_or_cap,20.0,True,completed,42,7f48947c4fe53b0324ef4f8ae830d3027d7acc511e335fb78444830c0e4f8f3e,44dae0bae662ea5ebb863a1fdfe3f68878235f3117cc11e0409f147ddda36f95,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,c008f1cfaabdfa066e512aa100c69861094006df2ea960627a56c0983476e9d2,f03647c376fe834f9bb1c3d6834ed42732ef3e7e1047eeff352af49b31ed607f,0.7397382371452405,0.4794764742904809,0.3534461568222764,3.034067102863239,1634.0049351000052,7.9321136474609375,21.01412582397461,0.0,,completed
fbv1-030-homecredit-catboost-boruta-random-forest-s42,fbv1-030-homecredit-catboost-boruta-random-forest-s42,30,oot,homecredit,locked_oot,boruta_random_forest,boruta_random_forest_confirmed_tentative_v1,selector,catboost,529,unsupported_not_persisted_by_prompt_10,40,natural_support_or_cap,40.0,True,completed,42,216ba2735bec1204a3acaf15da6bd4653da5de8aebdeb75ddbcfe3257158d853,44dae0bae662ea5ebb863a1fdfe3f68878235f3117cc11e0409f147ddda36f95,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,f7ea47a61bf3e4eddb937b07e6afde1798bc85daaac7fb4a87a80be4d41f6de1,f03647c376fe834f9bb1c3d6834ed42732ef3e7e1047eeff352af49b31ed607f,0.7542024954343132,0.5084049908686263,0.37607838259840215,3.253927037853329,1792.593071700001,7.948005676269531,20.818012237548828,0.0,,completed
