family_id,dataset,model,split,method_a,method_b,direction_convention,ordered_identity_target_sha256,aligned_row_count,positive_count,negative_count,auc_a,auc_b,delta_auc,delta_gini,delong_variance,delong_z,delong_raw_p,delong_valid,bootstrap_auc_point,bootstrap_ci95_lower,bootstrap_ci95_upper,bootstrap_seed,bootstrap_attempted,bootstrap_valid,bootstrap_interval_valid,dev_fold_auc_deltas,dev_folds_same_oot_direction,feature_count_a,feature_count_b,feature_count_comparability,natural_support_caveat,holm_family_size,holm_adjusted_p,holm_reject_0_05,bootstrap_ci_excludes_zero,evidence_strength,interpretation_limit
baseline_vs_random_k__homecredit__catboost,homecredit,catboost,oot,iv_woe,random_k,method_a_minus_method_b,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,120053,10688,109365,0.7685707064474809,0.685393258196267,0.08317744825121398,0.16635489650242796,6.525222916096861e-06,32.56176340853017,1.4271114598060322e-232,True,0.08317744825121398,0.07861306352799827,0.08804137556648461,20260721,2000,2000,True,0.102491345389|0.0921498283236|0.0951387643977|0.0818067138692|0.0687857257518,5,40,40,matched,False,7,4.281334379418097e-232,True,True,strong,scoped to this dataset/model/OOT split; non-significance is not equivalence
baseline_vs_random_k__homecredit__catboost,homecredit,catboost,oot,mrmr_mutual_information,random_k,method_a_minus_method_b,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,120053,10688,109365,0.759898780138256,0.685393258196267,0.074505521941989,0.149011043883978,7.01698117303167e-06,28.12634540654617,4.666433435247515e-174,True,0.074505521941989,0.06957113899772122,0.07964665233892378,20260721,2000,2000,True,0.0971406158495|0.0828549357202|0.0778647905456|0.0702105390978|0.0521003311101,5,40,40,matched,False,7,9.33286687049503e-174,True,True,strong,scoped to this dataset/model/OOT split; non-significance is not equivalence
baseline_vs_random_k__homecredit__catboost,homecredit,catboost,oot,lasso_l1_logistic,random_k,method_a_minus_method_b,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,120053,10688,109365,0.7742262072686338,0.685393258196267,0.08883294907236683,0.17766589814473366,6.499716463156873e-06,34.84390926228986,5.265292633907692e-266,True,0.08883294907236683,0.08423554626405877,0.09364844278919185,20260721,2000,2000,True,0.113365770626|0.103130811312|0.103453096449|0.0975798907672|0.078014844505,5,40,40,matched,True,7,2.6326463169538463e-265,True,True,strong,natural-support/count mismatch; non-significance is not equivalence
baseline_vs_random_k__homecredit__catboost,homecredit,catboost,oot,legacy_rf_relevance_corr,random_k,method_a_minus_method_b,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,120053,10688,109365,0.7698045497949376,0.685393258196267,0.08441129159867067,0.16882258319734134,6.379174443241862e-06,33.420912729827045,6.812624640225691e-245,True,0.08441129159867067,0.07977526507085606,0.08929912589014119,20260721,2000,2000,True,0.10231358423|0.0912029598314|0.0961783048864|0.0898998216353|0.0694999783357,5,40,40,matched,False,7,2.7250498560902765e-244,True,True,strong,scoped to this dataset/model/OOT split; non-significance is not equivalence
baseline_vs_random_k__homecredit__catboost,homecredit,catboost,oot,catboost_shap,random_k,method_a_minus_method_b,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,120053,10688,109365,0.7795351956558698,0.685393258196267,0.09414193745960286,0.18828387491920573,6.715539271608843e-06,36.328100082262786,5.82713164544046e-289,True,0.09414193745960286,0.08941594355307698,0.09914011322309778,20260721,2000,2000,True,0.113352720307|0.099779973458|0.111011360932|0.0995444944813|0.083305219102,5,40,40,matched,False,7,3.496278987264276e-288,True,True,strong,scoped to this dataset/model/OOT split; non-significance is not equivalence
baseline_vs_random_k__homecredit__catboost,homecredit,catboost,oot,boruta_random_forest,random_k,method_a_minus_method_b,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,120053,10688,109365,0.7542024954343132,0.685393258196267,0.06880923723804622,0.13761847447609243,7.640948121970845e-06,24.89276379272623,8.911452626737401e-137,True,0.06880923723804622,0.06365093183198818,0.07381311417505818,20260721,2000,2000,True,0.0954072962453|0.0757456944215|0.0791754858824|0.063810315342|0.058205740056,5,40,40,matched,True,7,8.911452626737401e-137,True,True,strong,natural-support/count mismatch; non-significance is not equivalence
baseline_vs_random_k__homecredit__catboost,homecredit,catboost,oot,rfe_catboost,random_k,method_a_minus_method_b,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,120053,10688,109365,0.7814255198969775,0.685393258196267,0.09603226170071055,0.1920645234014211,6.074964903275592e-06,38.962361422938564,0.0,True,0.09603226170071055,0.09154347360261643,0.1007968047797219,20260721,2000,2000,True,0.108779374525|0.100923133697|0.107979280478|0.102116717379|0.0827272986689,5,40,40,matched,False,7,0.0,True,True,strong,scoped to this dataset/model/OOT split; non-significance is not equivalence
baseline_vs_full_features__lendingclub_v2__lr,lendingclub_v2,lr,oot,iv_woe,full_features,method_a_minus_method_b,e455f6dae0c55f6bd47aaeefde05ef6ad1468aa1053f9be7013b109c2b94c162,293105,68252,224853,0.6821098791687364,0.7108872585675469,-0.02877737939881042,-0.05755475879762084,5.514371629938704e-07,-38.75281249003309,0.0,True,-0.02877737939881042,-0.030145348142296653,-0.0273358852831223,20260721,2000,2000,True,-0.029598631895|-0.0358720025301|-0.0348863524773|-0.0254128207239|-0.0286312708487,5,20,675,different_counts,False,7,0.0,True,True,strong,natural-support/count mismatch; non-significance is not equivalence
baseline_vs_full_features__lendingclub_v2__lr,lendingclub_v2,lr,oot,mrmr_mutual_information,full_features,method_a_minus_method_b,e455f6dae0c55f6bd47aaeefde05ef6ad1468aa1053f9be7013b109c2b94c162,293105,68252,224853,0.6859236290968351,0.7108872585675469,-0.024963629470711735,-0.04992725894142347,5.228213543537149e-07,-34.52479185259723,3.40681151659993e-261,True,-0.024963629470711735,-0.026352988230899342,-0.023557550881343325,20260721,2000,2000,True,-0.0202211552186|-0.0330849634127|-0.0268740258696|-0.025634103196|-0.0318182266438,5,20,675,different_counts,False,7,1.362724606639972e-260,True,True,strong,natural-support/count mismatch; non-significance is not equivalence
baseline_vs_full_features__lendingclub_v2__lr,lendingclub_v2,lr,oot,lasso_l1_logistic,full_features,method_a_minus_method_b,e455f6dae0c55f6bd47aaeefde05ef6ad1468aa1053f9be7013b109c2b94c162,293105,68252,224853,0.6811035325109065,0.7108872585675469,-0.02978372605664037,-0.05956745211328074,6.28938382587114e-07,-37.55562370799455,1.1404812866230145e-308,True,-0.02978372605664037,-0.03126626907413943,-0.028228827700312212,20260721,2000,2000,True,-0.00491532947514|-0.0116809989547|-0.0127713929984|-0.0116935392278|-0.0251637020434,5,20,675,different_counts,True,7,5.702406433115072e-308,True,True,strong,natural-support/count mismatch; non-significance is not equivalence
