run_id,dataset,model,method_id,split,metric,stored_value,recomputed_value,absolute_difference,tolerance,status
fbv1-006-homecredit-catboost-random-k-s42,homecredit,catboost,random_k,dev,auc,0.90168509337837,0.90168509337837,0.0,1e-12,pass
fbv1-006-homecredit-catboost-random-k-s42,homecredit,catboost,random_k,dev,gini,0.80337018675674,0.80337018675674,0.0,1e-12,pass
fbv1-006-homecredit-catboost-random-k-s42,homecredit,catboost,random_k,dev,ks,0.6531247796243478,0.6531247796243478,0.0,1e-12,pass
fbv1-006-homecredit-catboost-random-k-s42,homecredit,catboost,random_k,dev,log_loss,0.4914919654523502,0.4914919654523502,0.0,1e-12,pass
fbv1-006-homecredit-catboost-random-k-s42,homecredit,catboost,random_k,dev,brier,0.1580499861623785,0.1580499861623785,0.0,1e-12,pass
fbv1-006-homecredit-catboost-random-k-s42,homecredit,catboost,random_k,oot,auc,0.685393258196267,0.685393258196267,0.0,1e-12,pass
fbv1-006-homecredit-catboost-random-k-s42,homecredit,catboost,random_k,oot,gini,0.3707865163925339,0.3707865163925339,0.0,1e-12,pass
fbv1-006-homecredit-catboost-random-k-s42,homecredit,catboost,random_k,oot,ks,0.2750769711092149,0.27507697110921486,5.551115123125783e-17,1e-12,pass
fbv1-006-homecredit-catboost-random-k-s42,homecredit,catboost,random_k,oot,log_loss,0.5288228891942953,0.5288228891942953,0.0,1e-12,pass
fbv1-006-homecredit-catboost-random-k-s42,homecredit,catboost,random_k,oot,brier,0.1749659193737786,0.17496591937377867,8.326672684688674e-17,1e-12,pass
fbv1-006-homecredit-catboost-random-k-s42,homecredit,catboost,random_k,oot,lift_at_10,2.503596536312682,2.503596536312682,0.0,1e-12,pass
fbv1-007-lendingclub_v2-lr-random-k-s42,lendingclub_v2,lr,random_k,dev,auc,0.5930256615539302,0.5930256615539302,0.0,1e-12,pass
fbv1-007-lendingclub_v2-lr-random-k-s42,lendingclub_v2,lr,random_k,dev,gini,0.1860513231078604,0.18605132310786043,2.7755575615628914e-17,1e-12,pass
fbv1-007-lendingclub_v2-lr-random-k-s42,lendingclub_v2,lr,random_k,dev,ks,0.1359556964827873,0.13595569648278744,1.3877787807814457e-16,1e-12,pass
fbv1-007-lendingclub_v2-lr-random-k-s42,lendingclub_v2,lr,random_k,dev,log_loss,0.6807216130875895,0.6807216130875895,0.0,1e-12,pass
fbv1-007-lendingclub_v2-lr-random-k-s42,lendingclub_v2,lr,random_k,dev,brier,0.2437233186693455,0.24372331866934555,5.551115123125783e-17,1e-12,pass
fbv1-007-lendingclub_v2-lr-random-k-s42,lendingclub_v2,lr,random_k,oot,auc,0.6038217755404582,0.6038217755404582,0.0,1e-12,pass
fbv1-007-lendingclub_v2-lr-random-k-s42,lendingclub_v2,lr,random_k,oot,gini,0.2076435510809164,0.20764355108091648,8.326672684688674e-17,1e-12,pass
fbv1-007-lendingclub_v2-lr-random-k-s42,lendingclub_v2,lr,random_k,oot,ks,0.1497841800822618,0.14978418008226174,5.551115123125783e-17,1e-12,pass
fbv1-007-lendingclub_v2-lr-random-k-s42,lendingclub_v2,lr,random_k,oot,log_loss,0.6909098454794408,0.6909098454794408,0.0,1e-12,pass
fbv1-007-lendingclub_v2-lr-random-k-s42,lendingclub_v2,lr,random_k,oot,brier,0.2485285746538763,0.24852857465387634,5.551115123125783e-17,1e-12,pass
fbv1-007-lendingclub_v2-lr-random-k-s42,lendingclub_v2,lr,random_k,oot,lift_at_10,1.4604451095129698,1.4604451095129698,0.0,1e-12,pass
fbv1-008-lendingclub_v2-catboost-random-k-s42,lendingclub_v2,catboost,random_k,dev,auc,0.7390756731392498,0.7390756731392498,0.0,1e-12,pass
fbv1-008-lendingclub_v2-catboost-random-k-s42,lendingclub_v2,catboost,random_k,dev,gini,0.4781513462784996,0.47815134627849964,5.551115123125783e-17,1e-12,pass
fbv1-008-lendingclub_v2-catboost-random-k-s42,lendingclub_v2,catboost,random_k,dev,ks,0.3484198363890055,0.34841983638900553,5.551115123125783e-17,1e-12,pass
fbv1-008-lendingclub_v2-catboost-random-k-s42,lendingclub_v2,catboost,random_k,dev,log_loss,0.6085865187050881,0.6085865187050881,0.0,1e-12,pass
fbv1-008-lendingclub_v2-catboost-random-k-s42,lendingclub_v2,catboost,random_k,dev,brier,0.2106058091693499,0.21060580916934998,8.326672684688674e-17,1e-12,pass
fbv1-008-lendingclub_v2-catboost-random-k-s42,lendingclub_v2,catboost,random_k,oot,auc,0.6718457995837933,0.6718457995837933,0.0,1e-12,pass
fbv1-008-lendingclub_v2-catboost-random-k-s42,lendingclub_v2,catboost,random_k,oot,gini,0.3436915991675866,0.3436915991675866,0.0,1e-12,pass
fbv1-008-lendingclub_v2-catboost-random-k-s42,lendingclub_v2,catboost,random_k,oot,ks,0.2477357201990745,0.24773572019907458,8.326672684688674e-17,1e-12,pass
fbv1-008-lendingclub_v2-catboost-random-k-s42,lendingclub_v2,catboost,random_k,oot,log_loss,0.6293076067576056,0.6293076067576056,0.0,1e-12,pass
