result_id,dataset,method,method_family,configuration,model,requested_k,realized_k,reference_natural_support_k,support_status,padding,oot_rows,oot_events,dev_auc_mean,dev_auc_sd,dev_auc_ci_lower,dev_auc_ci_upper,oot_auc,oot_gini,oot_ks,oot_lift_at_10,oot_bad_rate_capture_at_10,oot_log_loss,oot_brier,oot_minus_dev_auc,nogueira_stability,mean_pairwise_jaccard,kuncheva_index,score_psi,feature_psi_mean,fit_seconds,prediction_seconds,wall_clock_seconds,peak_rss_bytes,peak_gpu_memory_bytes,result_authentication_reference,prediction_authentication_reference,confirmatory_eligibility,notes
result__homecredit__lr__legacy_rf_relevance_corr__k20,homecredit,legacy_rf_relevance_corr,baseline,k20,lr,20,20,,authenticated,False,120053,10688,0.7342675799488416,0.01036680845729032,0.7251806716881151,0.7433544882095682,0.7447520668100092,0.4895041336200183,0.3597414543769408,3.0948794253073064,0.30950598802395207,0.6244313990629775,0.21567700639148685,0.010484486861167541,0.8129273084479371,0.6998804094456268,0.812927308447937,0.0057578387497126,0.015061543769883872,1510.469014644623,2.131263732910156,1535.2602109909058,9514078208.0,0,authentication_inventory.json,results/full_baseline_v1/runs/homecredit/fbv1-021-homecredit-lr-legacy-rf-relevance-corr-s42/predictions_oot.csv,registry_dependent,
result__homecredit__catboost__legacy_rf_relevance_corr__k40,homecredit,legacy_rf_relevance_corr,baseline,k40,catboost,40,40,,authenticated,False,120053,10688,0.7522743942122128,0.012467980373529973,0.741345727562533,0.7632030608618925,0.7698045497949377,0.5396090995898755,0.4070247209599454,3.4326217084197426,0.3432821856287425,0.4781814492830624,0.156418763098945,0.01753015558272497,0.7430725971370142,0.6216360033213574,0.7430725971370143,0.0040562710383503,0.014425281680242612,1804.3024206161497,2.7474524974823,1824.352934360504,9204674560.0,0,authentication_inventory.json,results/full_baseline_v1/runs/homecredit/fbv1-022-homecredit-catboost-legacy-rf-relevance-corr-s42/predictions_oot.csv,registry_dependent,
result__homecredit__lr__catboost_shap__k20,homecredit,catboost_shap,baseline,k20,lr,20,20,,authenticated,False,120053,10688,0.743327157429894,0.010060328409476965,0.7345088907756654,0.7521454240841225,0.7501298442067997,0.5002596884135995,0.3703826437099741,3.12388222524217,0.3124064371257485,0.6329136634902536,0.21974563022578691,0.006802686776905764,0.7453732809430254,0.6108460299764646,0.7453732809430256,0.0124101217636454,0.009733706868822817,175.69655060768127,1.0380160808563232,186.1041481494904,8518180864.0,0,authentication_inventory.json,results/full_baseline_v1/runs/homecredit/fbv1-025-homecredit-lr-catboost-shap-s42/predictions_oot.csv,registry_dependent,
result__homecredit__catboost__catboost_shap__k40,homecredit,catboost_shap,baseline,k40,catboost,40,40,,authenticated,False,120053,10688,0.7638542180844813,0.013929034888394733,0.7516448806868858,0.7760635554820767,0.7795351956558697,0.5590703913117394,0.4199778214110799,3.5607953726480073,0.3561002994011976,0.46042352280008053,0.14952115933357615,0.01568097757138842,0.6375971370143149,0.5022971523259339,0.6375971370143149,0.0064807585929939,0.010994173790804515,418.00171470642084,2.482632875442505,435.6666975021362,8516366336.0,0,authentication_inventory.json,results/full_baseline_v1/runs/homecredit/fbv1-026-homecredit-catboost-catboost-shap-s42/predictions_oot.csv,registry_dependent,
result__homecredit__lr__boruta_random_forest__k20,homecredit,boruta_random_forest,baseline,k20,lr,20,20,,authenticated,False,120053,10688,0.7267203301056346,0.008207963819620825,0.7195257326030825,0.7339149276081868,0.7397382371452405,0.4794764742904809,0.3534461568222764,3.034067102863239,0.3034244011976048,0.630408556442335,0.2191776303750674,0.013017907039605814,0.5686935166994106,0.4335030490870313,0.5686935166994106,0.0072198948323135,0.0013654555179130569,1549.8494119644165,1.2653868198394775,1560.8614921569824,8517042176.0,0,authentication_inventory.json,results/full_baseline_v1/runs/homecredit/fbv1-029-homecredit-lr-boruta-random-forest-s42/predictions_oot.csv,registry_dependent,
result__homecredit__catboost__boruta_random_forest__k40,homecredit,boruta_random_forest,baseline,k40,catboost,40,40,26,infeasible_natural_support,False,120053,10688,0.7369243708178838,0.008980959952245703,0.7290522123309653,0.7447965293048022,0.7542024954343132,0.5084049908686263,0.37607838259840215,3.253927037853329,0.32541167664670656,0.504892378419518,0.1673523658208465,0.017278124616429413,0.5113353623074333,0.3832459024521369,,0.0035570158374247,0.001720328249043286,1705.618604183197,1.801018238067627,1718.7256028652191,8534106112.0,0,authentication_inventory.json,results/full_baseline_v1/runs/homecredit/fbv1-030-homecredit-catboost-boruta-random-forest-s42/predictions_oot.csv,exploratory_natural_support_context,OOT full-DEV refit realized 40; frozen unpadded reference support remains 26
result__homecredit__lr__rfe_catboost__k20,homecredit,rfe_catboost,baseline,k20,lr,20,20,,authenticated,False,120053,10688,0.7372156763774645,0.008499319955472217,0.7297656939617456,0.7446656587931835,0.74654609311072,0.4930921862214399,0.36561195432478893,3.120139928476381,0.3120321856287425,0.6275326924625548,0.21734038536780548,0.009330416733255409,0.64664047151277,0.4957820723337964,0.6466404715127703,0.0081578340334686,0.038917840068618925,1086.9565472602844,0.8398139476776123,1096.7509891986847,8496623616.0,0,authentication_inventory.json,results/full_baseline_v1/runs/homecredit/fbv1-033-homecredit-lr-rfe-catboost-s42/predictions_oot.csv,registry_dependent,
result__homecredit__catboost__rfe_catboost__k40,homecredit,rfe_catboost,baseline,k40,catboost,40,40,,authenticated,False,120053,10688,0.762960625378043,0.01493453593158311,0.7498699274563133,0.7760513232997727,0.7814255198969775,0.562851039793955,0.4226165305857904,3.580442430668399,0.35806511976047906,0.45805578058685376,0.14868721705473495,0.018464894518934516,0.591620654396728,0.4543431892813805,0.591620654396728,0.0062482474155813,0.021797142428935486,1143.7177374362946,1.5473825931549072,1156.3133718967438,8528240640.0,0,authentication_inventory.json,results/full_baseline_v1/runs/homecredit/fbv1-034-homecredit-catboost-rfe-catboost-s42/predictions_oot.csv,registry_dependent,
result__homecredit__lr__statistical_normalized_average_rank__k20,homecredit,statistical_normalized_average_rank,combination,k20,lr,20,20,,authenticated,False,120053,10688,0.743883800882492,0.0111991845696333,0.7340672827903074,0.7537003189746765,0.7497139113967922,0.49942782279358444,0.371939837407889,3.127624522007958,0.3127806886227545,0.6273766526943464,0.21747622498713126,0.0058301105143002685,,0.4994780021466677,0.6466404715127702,0.008746236358565057,,902.5463090999983,,,3677650944.0,,authentication_inventory.json,results/selector_combinations_v1/oot/evaluations/scv1-oot-001-homecredit-statistical-normalized-average-rank-lr-full-dev-k20-s42.oot_predictions.csv,registry_dependent,
result__homecredit__catboost__statistical_normalized_average_rank__k40,homecredit,statistical_normalized_average_rank,combination,k40,catboost,40,40,,authenticated,False,120053,10688,0.7610098179163001,0.0124385273184925,0.7501069680076382,0.7719126678249619,0.778592768173706,0.5571855363474121,0.42074034621745393,3.5467617597762997,0.35469685628742514,0.4747043960252361,0.15516856211730595,0.01758295025740597,,0.4692690814229871,0.6051431492842536,0.049428340104329546,,892.809116999968,,,3673305088.0,,authentication_inventory.json,results/selector_combinations_v1/oot/evaluations/scv1-oot-002-homecredit-statistical-normalized-average-rank-catboost-full-dev-k40-s42.oot_predictions.csv,registry_dependent,
result__homecredit__lr__iv_then_boruta__pool100,homecredit,iv_then_boruta,combination,pool100,lr,,75,,natural_support,False,120053,10688,0.7395275103143126,0.0130917865369219,0.7280520534540709,0.7510029671745544,0.7561409498243945,0.512281899648789,0.38144331279835064,3.189372418643473,0.3189558383233533,0.6237092598407553,0.21492177920907565,0.016613439510081873,,0.5221276130828344,,0.01573387001323419,,176.27376800001366,,,2724077568.0,,authentication_inventory.json,results/selector_combinations_v1/oot/evaluations/scv1-oot-005-homecredit-iv-then-boruta-lr-full-dev-pool100-s42.oot_predictions.csv,registry_dependent,
