record_kind,record_id,fit_order,configuration_order,fit_id,method_id,model,requested_feature_budget,realized_support,status,reason,natural_support_like_for_like,prediction_rows,prediction_alignment_authenticated,metric_recalculation_authenticated,fit_seconds,preprocessing_seconds,training_seconds,prediction_seconds,metric_seconds,total_seconds,manifest_sha256,artifact_path
evaluation,cell_020,20,20.0,fit_020,statistical_normalized_average_rank,catboost,40.0,40.0,complete,,True,204567.0,True,True,,1.0032781000481918,143.2527562000323,1.0657523999689147,0.17952500004321337,145.501664099982,3efd8e573d1dcd43ecf3e1785eca83b95ed21549a0d7bd0b0b900dab4d97d806,results/prompt_16_homecredit_model_stability_2024/pilot_v1/fold_1/evaluations/cell_020
evaluation,cell_021,21,21.0,fit_021,iv_then_boruta,lr,,56.0,complete,,True,204567.0,True,True,,1.1716829999350011,17.850910699926317,0.2297400999814272,0.17184169997926801,19.424362699966878,a69e14db95e569fd9e72b581b96ed2dfe75383bfb409fef7cd6dd43e75781933,results/prompt_16_homecredit_model_stability_2024/pilot_v1/fold_1/evaluations/cell_021
evaluation,cell_022,21,22.0,fit_021,iv_then_boruta,catboost,,56.0,complete,,True,204567.0,True,True,,1.182053199969232,185.33683669997845,1.0921037000371143,0.16864559997338802,187.779908800032,a8b222b79cab880afd641d7f47980843c2c2382313f4de6ba57b1dcb70f75b9d,results/prompt_16_homecredit_model_stability_2024/pilot_v1/fold_1/evaluations/cell_022
evaluation,cell_023,22,23.0,fit_022,iv_then_boruta,lr,,69.0,complete,,True,204567.0,True,True,,1.334250400075689,51.49515720002819,0.25012470001820475,0.17319680005311966,53.25288579997141,cd2a4fdc4765ca3c0a09f20674bef1f1615c2fa470ad944ae9d9c0228716edac,results/prompt_16_homecredit_model_stability_2024/pilot_v1/fold_1/evaluations/cell_023
evaluation,cell_024,22,24.0,fit_022,iv_then_boruta,catboost,,69.0,complete,,True,204567.0,True,True,,1.3592028999701142,210.22034850006457,1.0979036999633536,0.1791602000594139,212.8568734000437,d2db64a324a592654fbc43d82ae23f87f514409c3d19a254bc64543e3873ba7e,results/prompt_16_homecredit_model_stability_2024/pilot_v1/fold_1/evaluations/cell_024
evaluation,cell_025,23,25.0,fit_023,iv_then_boruta,lr,,84.0,complete,,True,204567.0,True,True,,1.9051003999775276,77.4249562000623,0.3269764999859035,0.1744850999675691,79.8316724000033,df825822681f97b452e05146326af807dc87785db5e082f60d09125919e41ab8,results/prompt_16_homecredit_model_stability_2024/pilot_v1/fold_1/evaluations/cell_025
evaluation,cell_026,23,26.0,fit_023,iv_then_boruta,catboost,,84.0,complete,,True,204567.0,True,True,,1.8788844000082463,237.6383834000444,1.1167650999268517,0.17062989994883537,240.80490539991297,3caafdc8fcfd3aa698d48cfd3b898bd730ac5af7870f4cd054715919ce6b8cce,results/prompt_16_homecredit_model_stability_2024/pilot_v1/fold_1/evaluations/cell_026
evaluation,cell_027,24,27.0,fit_024,boruta_then_mrmr_mutual_information,lr,20.0,20.0,complete,,True,204567.0,True,True,,0.41583269997499883,2.61830239999108,0.111379100009799,0.18830380006693304,3.3340026000514627,67bcb2a26a0a4b6a2cbdf04ef9247ce4702a1d3fe2aedeec7857546b606fee28,results/prompt_16_homecredit_model_stability_2024/pilot_v1/fold_1/evaluations/cell_027
evaluation,cell_028,25,28.0,fit_025,boruta_then_mrmr_mutual_information,catboost,40.0,40.0,complete,,True,204567.0,True,True,,0.7932462999597192,120.02949919993989,1.043505800073035,0.1659842999652028,122.03247229999397,159d687029fa31fc1dad65416031335b22fa60f6b33a2f974920c95eaf06f62a,results/prompt_16_homecredit_model_stability_2024/pilot_v1/fold_1/evaluations/cell_028
evaluation,cell_029,26,29.0,fit_026,boruta_then_rfe_catboost,lr,20.0,20.0,complete,,True,204567.0,True,True,,0.21459639992099255,0.40928849996998906,0.06494449998717755,0.1734221000224352,0.8624078999273479,7d3ede78c9dd721d276807ea1c461beedd68a58f2ecae7997b30f640faf1e135,results/prompt_16_homecredit_model_stability_2024/pilot_v1/fold_1/evaluations/cell_029
evaluation,cell_030,27,30.0,fit_027,boruta_then_rfe_catboost,catboost,40.0,40.0,complete,,True,204567.0,True,True,,0.9774995999177918,126.23150130000431,1.066237400053069,0.16946620005182922,128.44498020003084,1d329420999e89409c46396429bd9786aeda205f3483cb334971a1714fee85fe,results/prompt_16_homecredit_model_stability_2024/pilot_v1/fold_1/evaluations/cell_030
