evidence_cohort,dataset,cell_id,method_id,model,requested_k,realized_k,oot_rows,oot_events,event_rate,status,reason,auc,gini,ks,decision_threshold,precision,recall,f1,accuracy,log_loss,brier,lift_at_10,bad_rate_capture_at_10,score_psi,feature_psi_mean,feature_psi_median,feature_psi_max,runtime_seconds,feature_selection_seconds,training_seconds,peak_rss_bytes,source_artifact,source_sha256
canonical_llm_matrix_v2,lendingclub_v2,lr_llm_llm_bb103e2ac012,llm,lr,20,20,293105,68252,0.232858531925419,completed,,0.692656662842616,0.385313325685231,0.276367485992898,0.495241811596776,0.365163555547255,0.572950243216316,0.44604513490855,0.668613636751335,0.613803332248973,0.211576048823586,2.10949926632903,0.210953525171423,0.0065386924744341,0.0043693807705272,0,0.0356972133447528,357.350386619568,303.820096969604,26.9779853820801,,D:\python projects\Research_pre_cleanup_backup_20260704\results\lendingclub_v2\lr\llm\lr_llm_llm_bb103e2ac012\results\experiment_summary.csv,2cec55137bb4499e134b71f98ef5f2f8ee081408f61bbb8e60e4137feec53630
canonical_llm_matrix_v2,lendingclub_v2,lr_hybrid_llm_then_mrmr_45d98f9ad95c,llm_then_mrmr,lr,20,20,293105,68252,0.232858531925419,completed,,0.690703444558415,0.381406889116829,0.274439926537492,0.496217805551029,0.365910368683355,0.562606223993436,0.443424387821679,0.671124682281094,0.612150184308141,0.21093559860848,2.10612945919432,0.210616538709488,0.00807535861196,0.0089356271087838,0.0117508399317674,0.0252573306164931,1072.82852363586,1036.05296826363,5.9803786277771,,D:\python projects\Research_pre_cleanup_backup_20260704\results\lendingclub_v2\lr\hybrid_mrmr\lr_hybrid_llm_then_mrmr_45d98f9ad95c\results\experiment_summary.csv,ec85b2bfdb1b6db68faab16a1c8ccdc70d89271d9dc5d17c5e996512e0dbda18
canonical_llm_matrix_v2,lendingclub_v2,lr_hybrid_llm_then_boruta_4ecceaa878fc,llm_then_boruta,lr,20,20,293105,68252,0.232858531925419,completed,,0.647866134777415,0.295732269554831,0.212924881889253,0.496821545826769,0.314481746468538,0.627908339682354,0.419074254254939,0.594633322529469,0.658751771081797,0.233159980716065,1.73325297407087,0.173328254117095,0.0011156008340086,0.0094646096525352,0.0044896180008654,0.0343709548946897,2187.05347537994,2139.34148168564,8.71809649467468,,D:\python projects\Research_pre_cleanup_backup_20260704\results\lendingclub_v2\lr\hybrid_boruta\lr_hybrid_llm_then_boruta_4ecceaa878fc\results\experiment_summary.csv,e480cfe8fd2c39d4fb7cbade1c2e055181aeb34e1e8c89070343c4517bba6c79
canonical_llm_matrix_v2,lendingclub_v2,lr_hybrid_stable_core_llm_fill_497f694ad76d,stable_core_llm_fill,lr,20,20,293105,68252,0.232858531925419,completed,,0.684042921378166,0.368085842756331,0.263441883347794,0.482724122650671,0.351782429710081,0.588451620465334,0.440330661871923,0.651674314665393,0.621668909770353,0.215024148142002,2.0932362840702,0.209327199202954,0.0055864030168873,0.0080730522561575,0.0049296297322064,0.0300417526253424,4356.07831048966,4200.24988722801,6.44928622245789,,D:\python projects\Research_pre_cleanup_backup_20260704\results\lendingclub_v2\lr\hybrid_stable_core_llm_fill\lr_hybrid_stable_core_llm_fill_497f694ad76d\results\experiment_summary.csv,5b5a911f2b6f7010d4fb8f04d372f23e62a2f2e59d066bef17e1d7a9fdc76a44
canonical_llm_matrix_v2,lendingclub_v2,catboost_statistical_mrmr_94a6a14a53a4,mrmr,catboost,40,40,293105,68252,0.232858531925419,completed,,0.700845338980587,0.401690677961175,0.286417071120547,0.487825249893582,0.370127828033372,0.586297837426009,0.453783609085651,0.671332798826359,0.591897401251392,0.203582085061602,2.16722552768016,0.216726249780226,0.0064912559281909,0.0077721923210522,0.0044945864778768,0.0331218526874237,3918.93263530731,1565.15795898438,2200.24368691444,,D:\python projects\Research_pre_cleanup_backup_20260704\results\lendingclub_v2\catboost\statistical\catboost_statistical_mrmr_94a6a14a53a4\results\experiment_summary.csv,7f183b7027a11a2de4c1939964ea6015fd27068a80e219f7b6ff06ebb0e9e372
canonical_llm_matrix_v2,lendingclub_v2,catboost_statistical_boruta_effd06e32b3d,boruta,catboost,40,40,293105,68252,0.232858531925419,completed,,0.681349500512351,0.362699001024702,0.261245190079044,0.484531509266337,0.343749486990068,0.613593740842759,0.440641407392599,0.637249449855854,0.613776570793018,0.213397156386939,1.99067693649205,0.199071089491883,0.0017399722486601,0.0068949454802481,0.0012366486589249,0.0343709548946897,10357.894603014,7621.94757795334,2601.7598054409,,D:\python projects\Research_pre_cleanup_backup_20260704\results\lendingclub_v2\catboost\statistical\catboost_statistical_boruta_effd06e32b3d\results\experiment_summary.csv,5fefda12e986c22ef915679604456f2123bd28f8e19124bc892003eedc1b3eeb
canonical_llm_matrix_v2,lendingclub_v2,catboost_statistical_pca_0e10cf48968e,pca,catboost,40,40,293105,68252,0.232858531925419,completed,,0.670835855271818,0.341671710543635,0.245935608026236,0.488131900407142,0.356080943664836,0.513054562503663,0.420392335766423,0.670568567578172,0.58820546799008,0.202035944346712,1.9078968916611,0.190792943796519,0.0323354825704289,1.21352767997059,0.914518545793934,9.63619322434146,5277.19953918457,16.9625034332275,5126.57932162285,,D:\python projects\Research_pre_cleanup_backup_20260704\results\lendingclub_v2\catboost\statistical\catboost_statistical_pca_0e10cf48968e\results\experiment_summary.csv,78bebb5e0469595586108fef608cb592bfcaaa363286b28685bcf6ff230d9cb9
canonical_llm_matrix_v2,lendingclub_v2,catboost_statistical_domain_rule_baseline_9f4a8907eaf7,domain_rule_baseline,catboost,40,40,293105,68252,0.232858531925419,completed,,0.600922332708502,0.201844665417003,0.144580167169948,0.491245158237262,0.285607290850039,0.597828635058313,0.386545785255499,0.558144692175159,0.672240101488407,0.239924058849957,1.52740171214614,0.152742776768446,0.0023695344354845,0.0003850324496201,0,0.0047716352058489,2980.47241926193,73.2204704284668,2876.3230574131,,D:\python projects\Research_pre_cleanup_backup_20260704\results\lendingclub_v2\catboost\statistical\catboost_statistical_domain_rule_baseline_9f4a8907eaf7\results\experiment_summary.csv,c74cd29c0de9a3d1e5b52e62350d087790d69bfc666d4a734d8d86fba179eff5
canonical_llm_matrix_v2,lendingclub_v2,catboost_llm_llm_e6489647a93c,llm,catboost,40,40,293105,68252,0.232858531925419,completed,,0.713734008068612,0.427468016137223,0.307556292616011,0.496449538559518,0.385149896540109,0.586341792181914,0.464912841185662,0.68571331092953,0.583833000409656,0.20016496668008,2.23257048342282,0.223260856824708,0.0057549754591672,0.0058338958546137,0.0014022136353445,0.0356972133447528,4427.8900001049,315.610383272171,4071.06087827682,,D:\python projects\Research_pre_cleanup_backup_20260704\results\lendingclub_v2\catboost\llm\catboost_llm_llm_e6489647a93c\results\experiment_summary.csv,d40a406835978a02b98917b0a4908257f8790509471d725bd18fe84d576e908c
canonical_llm_matrix_v2,lendingclub_v2,catboost_hybrid_llm_then_mrmr_59865aa71763,llm_then_mrmr,catboost,40,40,293105,68252,0.232858531925419,completed,,0.704150661311842,0.408301322623685,0.291627351387217,0.491453581271853,0.373909767354243,0.581638633300123,0.455194872206488,0.675795363436311,0.589022133294286,0.202422872651146,2.18407456335372,0.218411182089902,0.0063242981906304,0.008084435717326,0.0049296297322064,0.0331218526874237,4365.60431218147,668.702353715897,3639.29387950897,,D:\python projects\Research_pre_cleanup_backup_20260704\results\lendingclub_v2\catboost\hybrid_mrmr\catboost_hybrid_llm_then_mrmr_59865aa71763\results\experiment_summary.csv,6da303e625164a38655b2031ae31fff2c7a5120e217833768fcc4a4a1def9b43
