evidence_cohort,dataset,method_id,model,valid_fold_count,mean_pairwise_jaccard,nogueira_stability,kuncheva_stability,source_artifact,source_sha256
prompt16_final_amended,homecredit_model_stability_2024,boruta_then_rfe_catboost,catboost,3,0.382716049382716,,,tables/feature_selections_by_fold.csv,derived_from_authenticated_selection_sets
prompt16_final_amended,homecredit_model_stability_2024,boruta_then_rfe_catboost,lr,3,0.280477185649599,,,tables/feature_selections_by_fold.csv,derived_from_authenticated_selection_sets
prompt16_final_amended,homecredit_model_stability_2024,catboost_shap,catboost,5,0.516627171899092,,,tables/feature_selections_by_fold.csv,derived_from_authenticated_selection_sets
prompt16_final_amended,homecredit_model_stability_2024,catboost_shap,lr,5,0.605806785806786,,,tables/feature_selections_by_fold.csv,derived_from_authenticated_selection_sets
prompt16_final_amended,homecredit_model_stability_2024,full_features,catboost,5,1,,,tables/feature_selections_by_fold.csv,derived_from_authenticated_selection_sets
prompt16_final_amended,homecredit_model_stability_2024,full_features,lr,5,1,,,tables/feature_selections_by_fold.csv,derived_from_authenticated_selection_sets
prompt16_final_amended,homecredit_model_stability_2024,iv_then_boruta,catboost,5,0.591941000710182,,,tables/feature_selections_by_fold.csv,derived_from_authenticated_selection_sets
prompt16_final_amended,homecredit_model_stability_2024,iv_then_boruta,lr,5,0.591941000710182,,,tables/feature_selections_by_fold.csv,derived_from_authenticated_selection_sets
prompt16_final_amended,homecredit_model_stability_2024,iv_woe,catboost,5,0.658222950104297,,,tables/feature_selections_by_fold.csv,derived_from_authenticated_selection_sets
prompt16_final_amended,homecredit_model_stability_2024,iv_woe,lr,5,0.666586006586007,,,tables/feature_selections_by_fold.csv,derived_from_authenticated_selection_sets
prompt16_final_amended,homecredit_model_stability_2024,lasso_l1_logistic,catboost,1,,,,tables/feature_selections_by_fold.csv,derived_from_authenticated_selection_sets
prompt16_final_amended,homecredit_model_stability_2024,lasso_l1_logistic,lr,1,,,,tables/feature_selections_by_fold.csv,derived_from_authenticated_selection_sets
prompt16_final_amended,homecredit_model_stability_2024,legacy_rf_relevance_corr,catboost,5,0.468705059956032,,,tables/feature_selections_by_fold.csv,derived_from_authenticated_selection_sets
prompt16_final_amended,homecredit_model_stability_2024,legacy_rf_relevance_corr,lr,5,0.51823754789272,,,tables/feature_selections_by_fold.csv,derived_from_authenticated_selection_sets
prompt16_final_amended,homecredit_model_stability_2024,llm,catboost,5,1,,,tables/feature_selections_by_fold.csv,derived_from_authenticated_selection_sets
prompt16_final_amended,homecredit_model_stability_2024,llm,lr,5,1,,,tables/feature_selections_by_fold.csv,derived_from_authenticated_selection_sets
prompt16_final_amended,homecredit_model_stability_2024,mrmr_mutual_information,catboost,5,0.391173831953121,,,tables/feature_selections_by_fold.csv,derived_from_authenticated_selection_sets
prompt16_final_amended,homecredit_model_stability_2024,mrmr_mutual_information,lr,5,0.308345505481212,,,tables/feature_selections_by_fold.csv,derived_from_authenticated_selection_sets
prompt16_final_amended,homecredit_model_stability_2024,random_k,catboost,5,1,,,tables/feature_selections_by_fold.csv,derived_from_authenticated_selection_sets
prompt16_final_amended,homecredit_model_stability_2024,random_k,lr,5,1,,,tables/feature_selections_by_fold.csv,derived_from_authenticated_selection_sets
prompt16_final_amended,homecredit_model_stability_2024,rfe_catboost,catboost,4,0.415748576668117,,,tables/feature_selections_by_fold.csv,derived_from_authenticated_selection_sets
prompt16_final_amended,homecredit_model_stability_2024,rfe_catboost,lr,4,0.357214806575207,,,tables/feature_selections_by_fold.csv,derived_from_authenticated_selection_sets
prompt16_final_amended,homecredit_model_stability_2024,stable_core_llm_fill,catboost,5,0.572713551045761,,,tables/feature_selections_by_fold.csv,derived_from_authenticated_selection_sets
prompt16_final_amended,homecredit_model_stability_2024,stable_core_llm_fill,lr,5,0.625873675438893,,,tables/feature_selections_by_fold.csv,derived_from_authenticated_selection_sets
prompt16_final_amended,homecredit_model_stability_2024,statistical_normalized_average_rank,catboost,1,,,,tables/feature_selections_by_fold.csv,derived_from_authenticated_selection_sets
prompt16_final_amended,homecredit_model_stability_2024,statistical_normalized_average_rank,lr,1,,,,tables/feature_selections_by_fold.csv,derived_from_authenticated_selection_sets
