evidence_cohort,dataset,split,cell_id,method_id,model,status,reason,feature_selection_seconds,training_seconds,runtime_seconds,peak_rss_bytes,source_artifact,source_sha256,minimum_available_ram_bytes,ram_wait_seconds,supervisor_attempts,automatic_retries
canonical_llm_matrix_v2,homecredit,DEV,lr_hybrid_llm_then_mrmr_f69e1a0cffc2,llm_then_mrmr,lr,completed,,15.1372709274292,0.0774307250976562,15.7537655830383,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\hybrid_mrmr\lr_hybrid_llm_then_mrmr_f69e1a0cffc2\results\cv_results.csv,2c523086b70e2b8bace2a9647e951c2c7611c677c99a80856a41dfc93e412578,,,,
canonical_llm_matrix_v2,homecredit,DEV,lr_hybrid_llm_then_mrmr_f69e1a0cffc2,llm_then_mrmr,lr,completed,,17.4079480171204,0.145791292190552,18.1692667007446,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\hybrid_mrmr\lr_hybrid_llm_then_mrmr_f69e1a0cffc2\results\cv_results.csv,2c523086b70e2b8bace2a9647e951c2c7611c677c99a80856a41dfc93e412578,,,,
canonical_llm_matrix_v2,homecredit,DEV,lr_hybrid_llm_then_boruta_9ceedb78b89f,llm_then_boruta,lr,completed,,12.9192914962769,0.030527114868164,13.1955337524414,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\hybrid_boruta\lr_hybrid_llm_then_boruta_9ceedb78b89f\results\cv_results.csv,03760c0a64d7b661c72b73451fb5f8891b035dd67277067465b2632f416dbe22,,,,
canonical_llm_matrix_v2,homecredit,DEV,lr_hybrid_llm_then_boruta_9ceedb78b89f,llm_then_boruta,lr,completed,,21.1956596374512,0.045884370803833,21.586838722229,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\hybrid_boruta\lr_hybrid_llm_then_boruta_9ceedb78b89f\results\cv_results.csv,03760c0a64d7b661c72b73451fb5f8891b035dd67277067465b2632f416dbe22,,,,
canonical_llm_matrix_v2,homecredit,DEV,lr_hybrid_llm_then_boruta_9ceedb78b89f,llm_then_boruta,lr,completed,,34.1633410453796,0.484330892562866,35.1395246982574,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\hybrid_boruta\lr_hybrid_llm_then_boruta_9ceedb78b89f\results\cv_results.csv,03760c0a64d7b661c72b73451fb5f8891b035dd67277067465b2632f416dbe22,,,,
canonical_llm_matrix_v2,homecredit,DEV,lr_hybrid_llm_then_boruta_9ceedb78b89f,llm_then_boruta,lr,completed,,48.5962400436401,0.148158550262451,49.2770957946777,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\hybrid_boruta\lr_hybrid_llm_then_boruta_9ceedb78b89f\results\cv_results.csv,03760c0a64d7b661c72b73451fb5f8891b035dd67277067465b2632f416dbe22,,,,
canonical_llm_matrix_v2,homecredit,DEV,lr_hybrid_llm_then_boruta_9ceedb78b89f,llm_then_boruta,lr,completed,,60.6257288455963,0.245870590209961,61.5199463367462,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\hybrid_boruta\lr_hybrid_llm_then_boruta_9ceedb78b89f\results\cv_results.csv,03760c0a64d7b661c72b73451fb5f8891b035dd67277067465b2632f416dbe22,,,,
canonical_llm_matrix_v2,homecredit,DEV,lr_hybrid_stable_core_llm_fill_1ddd0142e614,stable_core_llm_fill,lr,completed,,127.870856523514,0.0463528633117675,128.743216276169,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\hybrid_stable_core_llm_fill\lr_hybrid_stable_core_llm_fill_1ddd0142e614\results\cv_results.csv,d1af751cc2e530e561d41c5a9b3b3b92d8446e7d6ed71faf302faa0c88f50606,,,,
canonical_llm_matrix_v2,homecredit,DEV,lr_hybrid_stable_core_llm_fill_1ddd0142e614,stable_core_llm_fill,lr,completed,,171.374415159225,0.0368108749389648,172.688203811646,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\hybrid_stable_core_llm_fill\lr_hybrid_stable_core_llm_fill_1ddd0142e614\results\cv_results.csv,d1af751cc2e530e561d41c5a9b3b3b92d8446e7d6ed71faf302faa0c88f50606,,,,
canonical_llm_matrix_v2,homecredit,DEV,lr_hybrid_stable_core_llm_fill_1ddd0142e614,stable_core_llm_fill,lr,completed,,219.395134687424,0.064471960067749,221.233503341675,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\hybrid_stable_core_llm_fill\lr_hybrid_stable_core_llm_fill_1ddd0142e614\results\cv_results.csv,d1af751cc2e530e561d41c5a9b3b3b92d8446e7d6ed71faf302faa0c88f50606,,,,
canonical_llm_matrix_v2,homecredit,DEV,lr_hybrid_stable_core_llm_fill_1ddd0142e614,stable_core_llm_fill,lr,completed,,265.471938371658,0.208233833312988,267.886774301529,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\hybrid_stable_core_llm_fill\lr_hybrid_stable_core_llm_fill_1ddd0142e614\results\cv_results.csv,d1af751cc2e530e561d41c5a9b3b3b92d8446e7d6ed71faf302faa0c88f50606,,,,
canonical_llm_matrix_v2,homecredit,DEV,lr_hybrid_stable_core_llm_fill_1ddd0142e614,stable_core_llm_fill,lr,completed,,314.564152479172,0.269378900527954,317.505086898804,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\hybrid_stable_core_llm_fill\lr_hybrid_stable_core_llm_fill_1ddd0142e614\results\cv_results.csv,d1af751cc2e530e561d41c5a9b3b3b92d8446e7d6ed71faf302faa0c88f50606,,,,
canonical_llm_matrix_v2,homecredit,DEV,catboost_statistical_mrmr_3858b721e537,mrmr,catboost,completed,,82.9157774448395,16.5710067749023,100.592494726181,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\catboost\statistical\catboost_statistical_mrmr_3858b721e537\results\cv_results.csv,1d7dc3d31c44fb97a9c0d56f84a83fa412f7284253f62ecca98623ad15cae1b0,,,,
canonical_llm_matrix_v2,homecredit,DEV,catboost_statistical_mrmr_3858b721e537,mrmr,catboost,completed,,95.5895748138428,25.5141212940216,122.720862388611,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\catboost\statistical\catboost_statistical_mrmr_3858b721e537\results\cv_results.csv,1d7dc3d31c44fb97a9c0d56f84a83fa412f7284253f62ecca98623ad15cae1b0,,,,
canonical_llm_matrix_v2,homecredit,DEV,catboost_statistical_mrmr_3858b721e537,mrmr,catboost,completed,,106.706158638,34.9761188030243,143.724921703339,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\catboost\statistical\catboost_statistical_mrmr_3858b721e537\results\cv_results.csv,1d7dc3d31c44fb97a9c0d56f84a83fa412f7284253f62ecca98623ad15cae1b0,,,,
canonical_llm_matrix_v2,homecredit,DEV,catboost_statistical_mrmr_3858b721e537,mrmr,catboost,completed,,120.868714570999,39.7877898216248,163.325676679611,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\catboost\statistical\catboost_statistical_mrmr_3858b721e537\results\cv_results.csv,1d7dc3d31c44fb97a9c0d56f84a83fa412f7284253f62ecca98623ad15cae1b0,,,,
canonical_llm_matrix_v2,homecredit,DEV,catboost_statistical_mrmr_3858b721e537,mrmr,catboost,completed,,132.100390434265,53.5010974407196,189.030379295349,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\catboost\statistical\catboost_statistical_mrmr_3858b721e537\results\cv_results.csv,1d7dc3d31c44fb97a9c0d56f84a83fa412f7284253f62ecca98623ad15cae1b0,,,,
canonical_llm_matrix_v2,homecredit,DEV,catboost_statistical_boruta_486630bccdb9,boruta,catboost,completed,,34.8819735050201,26.5391869544983,62.5330617427826,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\catboost\statistical\catboost_statistical_boruta_486630bccdb9\results\cv_results.csv,3b637206bf7bc50cc53c0a9a6e78d593de6976e875ba319a979505b234f4663d,,,,
canonical_llm_matrix_v2,homecredit,DEV,catboost_statistical_boruta_486630bccdb9,boruta,catboost,completed,,76.2482092380524,31.553685426712,109.43199968338,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\catboost\statistical\catboost_statistical_boruta_486630bccdb9\results\cv_results.csv,3b637206bf7bc50cc53c0a9a6e78d593de6976e875ba319a979505b234f4663d,,,,
canonical_llm_matrix_v2,homecredit,DEV,catboost_statistical_boruta_486630bccdb9,boruta,catboost,completed,,127.492781639099,39.9912703037262,169.68944811821,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\catboost\statistical\catboost_statistical_boruta_486630bccdb9\results\cv_results.csv,3b637206bf7bc50cc53c0a9a6e78d593de6976e875ba319a979505b234f4663d,,,,
canonical_llm_matrix_v2,homecredit,DEV,catboost_statistical_boruta_486630bccdb9,boruta,catboost,completed,,176.711268901825,46.7998032569885,226.320560216904,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\catboost\statistical\catboost_statistical_boruta_486630bccdb9\results\cv_results.csv,3b637206bf7bc50cc53c0a9a6e78d593de6976e875ba319a979505b234f4663d,,,,
canonical_llm_matrix_v2,homecredit,DEV,catboost_statistical_boruta_486630bccdb9,boruta,catboost,completed,,236.762140989304,63.9085721969604,303.987968683243,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\catboost\statistical\catboost_statistical_boruta_486630bccdb9\results\cv_results.csv,3b637206bf7bc50cc53c0a9a6e78d593de6976e875ba319a979505b234f4663d,,,,
canonical_llm_matrix_v2,homecredit,DEV,catboost_statistical_pca_26fcebfff558,pca,catboost,completed,,0.31653881072998,31.0204567909241,32.4405689239502,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\catboost\statistical\catboost_statistical_pca_26fcebfff558\results\cv_results.csv,16d7f8193710dad1b7de308657d42e113430a8db2e60ffb5aedd517b14852fcb,,,,
canonical_llm_matrix_v2,homecredit,DEV,catboost_statistical_pca_26fcebfff558,pca,catboost,completed,,0.466703176498413,51.689267873764,53.8210544586182,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\catboost\statistical\catboost_statistical_pca_26fcebfff558\results\cv_results.csv,16d7f8193710dad1b7de308657d42e113430a8db2e60ffb5aedd517b14852fcb,,,,
canonical_llm_matrix_v2,homecredit,DEV,catboost_statistical_pca_26fcebfff558,pca,catboost,completed,,0.547717809677124,48.0853462219238,51.0187480449677,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\catboost\statistical\catboost_statistical_pca_26fcebfff558\results\cv_results.csv,16d7f8193710dad1b7de308657d42e113430a8db2e60ffb5aedd517b14852fcb,,,,
canonical_llm_matrix_v2,homecredit,DEV,catboost_statistical_pca_26fcebfff558,pca,catboost,completed,,0.511191368103027,115.829695940018,119.172485351562,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\catboost\statistical\catboost_statistical_pca_26fcebfff558\results\cv_results.csv,16d7f8193710dad1b7de308657d42e113430a8db2e60ffb5aedd517b14852fcb,,,,
canonical_llm_matrix_v2,homecredit,DEV,catboost_statistical_pca_26fcebfff558,pca,catboost,completed,,0.461834907531738,154.025181531906,157.846188306808,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\catboost\statistical\catboost_statistical_pca_26fcebfff558\results\cv_results.csv,16d7f8193710dad1b7de308657d42e113430a8db2e60ffb5aedd517b14852fcb,,,,
canonical_llm_matrix_v2,homecredit,DEV,catboost_statistical_domain_rule_baseline_b0a57bf51d1f,domain_rule_baseline,catboost,completed,,1.29639601707458,33.9770226478577,35.6304893493652,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\catboost\statistical\catboost_statistical_domain_rule_baseline_b0a57bf51d1f\results\cv_results.csv,b3b185cd33fa71a8cce611edaa4d1155e9f12adcb78e27e3f8a3811592fcf680,,,,
canonical_llm_matrix_v2,homecredit,DEV,catboost_statistical_domain_rule_baseline_b0a57bf51d1f,domain_rule_baseline,catboost,completed,,1.83407521247864,42.824686050415,45.1690640449524,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\catboost\statistical\catboost_statistical_domain_rule_baseline_b0a57bf51d1f\results\cv_results.csv,b3b185cd33fa71a8cce611edaa4d1155e9f12adcb78e27e3f8a3811592fcf680,,,,
canonical_llm_matrix_v2,homecredit,DEV,catboost_statistical_domain_rule_baseline_b0a57bf51d1f,domain_rule_baseline,catboost,completed,,2.350919008255,49.9353559017181,52.8786015510559,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\catboost\statistical\catboost_statistical_domain_rule_baseline_b0a57bf51d1f\results\cv_results.csv,b3b185cd33fa71a8cce611edaa4d1155e9f12adcb78e27e3f8a3811592fcf680,,,,
canonical_llm_matrix_v2,homecredit,DEV,catboost_statistical_domain_rule_baseline_b0a57bf51d1f,domain_rule_baseline,catboost,completed,,2.90521311759949,82.2453210353851,85.8664824962616,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\catboost\statistical\catboost_statistical_domain_rule_baseline_b0a57bf51d1f\results\cv_results.csv,b3b185cd33fa71a8cce611edaa4d1155e9f12adcb78e27e3f8a3811592fcf680,,,,
canonical_llm_matrix_v2,homecredit,DEV,catboost_statistical_domain_rule_baseline_b0a57bf51d1f,domain_rule_baseline,catboost,completed,,3.47452425956726,81.1113193035126,85.3643152713776,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\catboost\statistical\catboost_statistical_domain_rule_baseline_b0a57bf51d1f\results\cv_results.csv,b3b185cd33fa71a8cce611edaa4d1155e9f12adcb78e27e3f8a3811592fcf680,,,,
canonical_llm_matrix_v2,homecredit,DEV,catboost_llm_llm_d54c966a1d6e,llm,catboost,completed,,3.44564080238342,32.8552870750427,36.9752795696259,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\catboost\llm\catboost_llm_llm_d54c966a1d6e\results\cv_results.csv,0cf348752d734c20f1870e68447e4019e2e6725049e837c579a2aedb2c757b4b,,,,
canonical_llm_matrix_v2,homecredit,DEV,catboost_llm_llm_d54c966a1d6e,llm,catboost,completed,,5.09503817558289,41.8837244510651,47.5929050445557,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\catboost\llm\catboost_llm_llm_d54c966a1d6e\results\cv_results.csv,0cf348752d734c20f1870e68447e4019e2e6725049e837c579a2aedb2c757b4b,,,,
canonical_llm_matrix_v2,homecredit,DEV,catboost_llm_llm_d54c966a1d6e,llm,catboost,completed,,6.56409430503845,52.0161776542664,59.7567684650421,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\catboost\llm\catboost_llm_llm_d54c966a1d6e\results\cv_results.csv,0cf348752d734c20f1870e68447e4019e2e6725049e837c579a2aedb2c757b4b,,,,
canonical_llm_matrix_v2,homecredit,DEV,catboost_llm_llm_d54c966a1d6e,llm,catboost,completed,,8.27011442184448,78.86993932724,88.3401508331299,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\catboost\llm\catboost_llm_llm_d54c966a1d6e\results\cv_results.csv,0cf348752d734c20f1870e68447e4019e2e6725049e837c579a2aedb2c757b4b,,,,
