evidence_cohort,dataset,method_id,model,semantic_group,role,selected_feature_count,within_selection_share
canonical_llm_matrix_v2,lendingclub_v2,mrmr,catboost,fico_credit_score,classical_selected,5,0.125
canonical_llm_matrix_v2,lendingclub_v2,mrmr,catboost,income_capacity,classical_selected,5,0.125
canonical_llm_matrix_v2,lendingclub_v2,mrmr,catboost,loan_terms,classical_selected,8,0.2
canonical_llm_matrix_v2,lendingclub_v2,mrmr,catboost,other,classical_selected,10,0.25
canonical_llm_matrix_v2,lendingclub_v2,mrmr,catboost,revolving_utilization,classical_selected,1,0.025
canonical_llm_matrix_v2,lendingclub_v2,mrmr,lr,account_opening_activity,classical_selected,2,0.1
canonical_llm_matrix_v2,lendingclub_v2,mrmr,lr,credit_history_length,classical_selected,1,0.05
canonical_llm_matrix_v2,lendingclub_v2,mrmr,lr,fico_credit_score,classical_selected,4,0.2
canonical_llm_matrix_v2,lendingclub_v2,mrmr,lr,income_capacity,classical_selected,3,0.15
canonical_llm_matrix_v2,lendingclub_v2,mrmr,lr,loan_terms,classical_selected,7,0.35
canonical_llm_matrix_v2,lendingclub_v2,mrmr,lr,other,classical_selected,3,0.15
canonical_llm_matrix_v2,lendingclub_v2,pca,catboost,other,classical_selected,40,1
canonical_llm_matrix_v2,lendingclub_v2,pca,lr,other,classical_selected,20,1
canonical_llm_matrix_v2,lendingclub_v2,stable_core_llm_fill,catboost,account_opening_activity,hybrid_role_not_separately_authenticated,6,0.15
canonical_llm_matrix_v2,lendingclub_v2,stable_core_llm_fill,catboost,bankcard_capacity,hybrid_role_not_separately_authenticated,4,0.1
canonical_llm_matrix_v2,lendingclub_v2,stable_core_llm_fill,catboost,credit_history_length,hybrid_role_not_separately_authenticated,2,0.05
canonical_llm_matrix_v2,lendingclub_v2,stable_core_llm_fill,catboost,fico_credit_score,hybrid_role_not_separately_authenticated,5,0.125
canonical_llm_matrix_v2,lendingclub_v2,stable_core_llm_fill,catboost,income_capacity,hybrid_role_not_separately_authenticated,5,0.125
canonical_llm_matrix_v2,lendingclub_v2,stable_core_llm_fill,catboost,loan_terms,hybrid_role_not_separately_authenticated,7,0.175
canonical_llm_matrix_v2,lendingclub_v2,stable_core_llm_fill,catboost,mortgage_history,hybrid_role_not_separately_authenticated,1,0.025
canonical_llm_matrix_v2,lendingclub_v2,stable_core_llm_fill,catboost,other,hybrid_role_not_separately_authenticated,7,0.175
canonical_llm_matrix_v2,lendingclub_v2,stable_core_llm_fill,catboost,revolving_utilization,hybrid_role_not_separately_authenticated,3,0.075
canonical_llm_matrix_v2,lendingclub_v2,stable_core_llm_fill,lr,account_opening_activity,hybrid_role_not_separately_authenticated,2,0.1
canonical_llm_matrix_v2,lendingclub_v2,stable_core_llm_fill,lr,bankcard_capacity,hybrid_role_not_separately_authenticated,2,0.1
canonical_llm_matrix_v2,lendingclub_v2,stable_core_llm_fill,lr,credit_history_length,hybrid_role_not_separately_authenticated,1,0.05
canonical_llm_matrix_v2,lendingclub_v2,stable_core_llm_fill,lr,fico_credit_score,hybrid_role_not_separately_authenticated,4,0.2
canonical_llm_matrix_v2,lendingclub_v2,stable_core_llm_fill,lr,income_capacity,hybrid_role_not_separately_authenticated,3,0.15
canonical_llm_matrix_v2,lendingclub_v2,stable_core_llm_fill,lr,loan_terms,hybrid_role_not_separately_authenticated,6,0.3
canonical_llm_matrix_v2,lendingclub_v2,stable_core_llm_fill,lr,other,hybrid_role_not_separately_authenticated,2,0.1
prompt16_final_amended,homecredit_model_stability_2024,catboost_shap,catboost,applprev,classical_selected,3,0.075
prompt16_final_amended,homecredit_model_stability_2024,catboost_shap,catboost,credit_bureau_a,classical_selected,11,0.275
prompt16_final_amended,homecredit_model_stability_2024,catboost_shap,catboost,person,classical_selected,7,0.175
prompt16_final_amended,homecredit_model_stability_2024,catboost_shap,catboost,static,classical_selected,14,0.35
prompt16_final_amended,homecredit_model_stability_2024,catboost_shap,catboost,static_cb,classical_selected,2,0.05
prompt16_final_amended,homecredit_model_stability_2024,catboost_shap,catboost,tax_registry_a,classical_selected,2,0.05
prompt16_final_amended,homecredit_model_stability_2024,catboost_shap,catboost,tax_registry_c,classical_selected,1,0.025
prompt16_final_amended,homecredit_model_stability_2024,catboost_shap,lr,applprev,classical_selected,2,0.1
prompt16_final_amended,homecredit_model_stability_2024,catboost_shap,lr,credit_bureau_a,classical_selected,3,0.15
prompt16_final_amended,homecredit_model_stability_2024,catboost_shap,lr,person,classical_selected,5,0.25
prompt16_final_amended,homecredit_model_stability_2024,catboost_shap,lr,static,classical_selected,6,0.3
prompt16_final_amended,homecredit_model_stability_2024,catboost_shap,lr,static_cb,classical_selected,2,0.1
prompt16_final_amended,homecredit_model_stability_2024,catboost_shap,lr,tax_registry_a,classical_selected,2,0.1
prompt16_final_amended,homecredit_model_stability_2024,full_features,catboost,applprev,classical_selected,309,0.157733537519142
prompt16_final_amended,homecredit_model_stability_2024,full_features,catboost,credit_bureau_a,classical_selected,649,0.331291475242471
prompt16_final_amended,homecredit_model_stability_2024,full_features,catboost,credit_bureau_b,classical_selected,355,0.181214905564063
prompt16_final_amended,homecredit_model_stability_2024,full_features,catboost,debitcard,classical_selected,36,0.0183767228177642
prompt16_final_amended,homecredit_model_stability_2024,full_features,catboost,deposit,classical_selected,26,0.0132720775906075
prompt16_final_amended,homecredit_model_stability_2024,full_features,catboost,other,classical_selected,46,0.0234813680449209
prompt16_final_amended,homecredit_model_stability_2024,full_features,catboost,person,classical_selected,247,0.126084737110771
prompt16_final_amended,homecredit_model_stability_2024,full_features,catboost,static,classical_selected,167,0.0852475752935171
prompt16_final_amended,homecredit_model_stability_2024,full_features,catboost,static_cb,classical_selected,52,0.0265441551812149
prompt16_final_amended,homecredit_model_stability_2024,full_features,catboost,tax_registry_a,classical_selected,24,0.0122511485451761
prompt16_final_amended,homecredit_model_stability_2024,full_features,catboost,tax_registry_b,classical_selected,24,0.0122511485451761
prompt16_final_amended,homecredit_model_stability_2024,full_features,catboost,tax_registry_c,classical_selected,24,0.0122511485451761
prompt16_final_amended,homecredit_model_stability_2024,full_features,lr,applprev,classical_selected,309,0.157733537519142
prompt16_final_amended,homecredit_model_stability_2024,full_features,lr,credit_bureau_a,classical_selected,649,0.331291475242471
prompt16_final_amended,homecredit_model_stability_2024,full_features,lr,credit_bureau_b,classical_selected,355,0.181214905564063
prompt16_final_amended,homecredit_model_stability_2024,full_features,lr,debitcard,classical_selected,36,0.0183767228177642
prompt16_final_amended,homecredit_model_stability_2024,full_features,lr,deposit,classical_selected,26,0.0132720775906075
prompt16_final_amended,homecredit_model_stability_2024,full_features,lr,other,classical_selected,46,0.0234813680449209
prompt16_final_amended,homecredit_model_stability_2024,full_features,lr,person,classical_selected,247,0.126084737110771
prompt16_final_amended,homecredit_model_stability_2024,full_features,lr,static,classical_selected,167,0.0852475752935171
prompt16_final_amended,homecredit_model_stability_2024,full_features,lr,static_cb,classical_selected,52,0.0265441551812149
prompt16_final_amended,homecredit_model_stability_2024,full_features,lr,tax_registry_a,classical_selected,24,0.0122511485451761
prompt16_final_amended,homecredit_model_stability_2024,full_features,lr,tax_registry_b,classical_selected,24,0.0122511485451761
prompt16_final_amended,homecredit_model_stability_2024,full_features,lr,tax_registry_c,classical_selected,24,0.0122511485451761
prompt16_final_amended,homecredit_model_stability_2024,iv_then_boruta,catboost,applprev,classical_selected,83,0.16468253968254
prompt16_final_amended,homecredit_model_stability_2024,iv_then_boruta,catboost,credit_bureau_a,classical_selected,257,0.509920634920635
