evidence_cohort,dataset,split,fold_or_cell,method_id,model,k,status,metric_name,metric_value,source_artifact,source_sha256,availability_reason
canonical_llm_matrix_v2,homecredit,DEV,2,mrmr,lr,20,completed,brier,0.203659451005342,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\results\cv_results.csv,b629ff16e515d9d1f2c4dde56ddb6bb0f522d16a1e70550e520015521d3106e8,
canonical_llm_matrix_v2,homecredit,DEV,2,mrmr,lr,20,completed,lift_at_10,3.00115611161128,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\results\cv_results.csv,b629ff16e515d9d1f2c4dde56ddb6bb0f522d16a1e70550e520015521d3106e8,
canonical_llm_matrix_v2,homecredit,DEV,2,mrmr,lr,20,completed,bad_rate_capture_at_10,0.300240192153723,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\results\cv_results.csv,b629ff16e515d9d1f2c4dde56ddb6bb0f522d16a1e70550e520015521d3106e8,
canonical_llm_matrix_v2,homecredit,DEV,2,mrmr,lr,20,completed,runtime_seconds,94.20827460289,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\results\cv_results.csv,b629ff16e515d9d1f2c4dde56ddb6bb0f522d16a1e70550e520015521d3106e8,
canonical_llm_matrix_v2,homecredit,DEV,2,mrmr,lr,20,completed,feature_selection_seconds,92.1761772632599,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\results\cv_results.csv,b629ff16e515d9d1f2c4dde56ddb6bb0f522d16a1e70550e520015521d3106e8,
canonical_llm_matrix_v2,homecredit,DEV,2,mrmr,lr,20,completed,training_seconds,0.0945706367492675,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\results\cv_results.csv,b629ff16e515d9d1f2c4dde56ddb6bb0f522d16a1e70550e520015521d3106e8,
canonical_llm_matrix_v2,homecredit,DEV,2,mrmr,lr,20,completed,peak_rss_bytes,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\results\cv_results.csv,b629ff16e515d9d1f2c4dde56ddb6bb0f522d16a1e70550e520015521d3106e8,
canonical_llm_matrix_v2,homecredit,DEV,3,mrmr,lr,20,completed,auc,0.748638649657882,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\results\cv_results.csv,b629ff16e515d9d1f2c4dde56ddb6bb0f522d16a1e70550e520015521d3106e8,
canonical_llm_matrix_v2,homecredit,DEV,3,mrmr,lr,20,completed,gini,0.497277299315763,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\results\cv_results.csv,b629ff16e515d9d1f2c4dde56ddb6bb0f522d16a1e70550e520015521d3106e8,
canonical_llm_matrix_v2,homecredit,DEV,3,mrmr,lr,20,completed,ks,0.37992272658594,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\results\cv_results.csv,b629ff16e515d9d1f2c4dde56ddb6bb0f522d16a1e70550e520015521d3106e8,
canonical_llm_matrix_v2,homecredit,DEV,3,mrmr,lr,20,completed,ks_threshold,0.50074444751226,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\results\cv_results.csv,b629ff16e515d9d1f2c4dde56ddb6bb0f522d16a1e70550e520015521d3106e8,
canonical_llm_matrix_v2,homecredit,DEV,3,mrmr,lr,20,completed,decision_threshold,0.489947444665174,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\results\cv_results.csv,b629ff16e515d9d1f2c4dde56ddb6bb0f522d16a1e70550e520015521d3106e8,
canonical_llm_matrix_v2,homecredit,DEV,3,mrmr,lr,20,completed,precision,0.149850647195486,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\results\cv_results.csv,b629ff16e515d9d1f2c4dde56ddb6bb0f522d16a1e70550e520015521d3106e8,
canonical_llm_matrix_v2,homecredit,DEV,3,mrmr,lr,20,completed,recall,0.708235294117647,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\results\cv_results.csv,b629ff16e515d9d1f2c4dde56ddb6bb0f522d16a1e70550e520015521d3106e8,
canonical_llm_matrix_v2,homecredit,DEV,3,mrmr,lr,20,completed,f1,0.247363374880153,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\results\cv_results.csv,b629ff16e515d9d1f2c4dde56ddb6bb0f522d16a1e70550e520015521d3106e8,
canonical_llm_matrix_v2,homecredit,DEV,3,mrmr,lr,20,completed,accuracy,0.671312357937552,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\results\cv_results.csv,b629ff16e515d9d1f2c4dde56ddb6bb0f522d16a1e70550e520015521d3106e8,
