feature_name,semantic_group,umap_1,umap_2
mths_since_last_major_derog_missing_flag,missingness_or_unknown,-3.1700091,10.561351
mths_since_last_major_derog_recent_12m_flag,delinquency_derogatory,-3.3816276,10.107923
mths_since_last_major_derog_recent_24m_flag,delinquency_derogatory,-3.4919844,9.934118
mths_since_last_major_derog_seasoned_60m_flag,delinquency_derogatory,-3.7232888,9.494548
mths_since_last_record,credit_history_length,12.029171,2.3499188
mths_since_last_record_inverse_recency,credit_history_length,11.817196,2.1199415
mths_since_last_record_missing_flag,missingness_or_unknown,-3.1505883,10.527141
mths_since_last_record_recent_12m_flag,credit_history_length,-4.2889094,9.899853
mths_since_last_record_recent_24m_flag,credit_history_length,-4.355955,9.825139
mths_since_last_record_seasoned_60m_flag,credit_history_length,-4.239421,9.009514
mths_since_rcnt_il_missing_flag,missingness_or_unknown,-0.19111225,10.2439575
mths_since_rcnt_il_recent_12m_flag,credit_history_length,-4.316594,9.879938
mths_since_rcnt_il_recent_24m_flag,credit_history_length,-4.353885,9.856424
mths_since_rcnt_il_seasoned_60m_flag,credit_history_length,-4.3962283,9.785648
mths_since_recent_bc,bankcard_capacity,12.40715,4.039638
mths_since_recent_bc_dlq,bankcard_capacity,11.966817,2.2489777
mths_since_recent_bc_dlq_inverse_recency,bankcard_capacity,11.8095665,2.1026342
mths_since_recent_bc_dlq_missing_flag,missingness_or_unknown,-3.2257009,10.488346
mths_since_recent_bc_dlq_recent_12m_flag,bankcard_capacity,-4.158924,9.380692
mths_since_recent_bc_dlq_recent_24m_flag,bankcard_capacity,-4.1429467,9.125968
mths_since_recent_bc_dlq_seasoned_60m_flag,bankcard_capacity,-4.1288085,9.012477
mths_since_recent_bc_inverse_recency,bankcard_capacity,11.798067,3.6012294
mths_since_recent_bc_missing_flag,missingness_or_unknown,-2.2453444,10.80126
mths_since_recent_bc_recent_12m_flag,bankcard_capacity,-4.1894755,8.747645
mths_since_recent_bc_recent_24m_flag,bankcard_capacity,-4.2108727,8.802795
mths_since_recent_bc_seasoned_60m_flag,bankcard_capacity,-4.176175,8.948018
mths_since_recent_inq,recent_inquiries,11.799262,3.2903295
mths_since_recent_inq_inverse_recency,recent_inquiries,11.633797,3.388788
mths_since_recent_inq_missing_flag,missingness_or_unknown,-2.583843,10.696164
mths_since_recent_inq_recent_12m_flag,recent_inquiries,-3.978853,9.263298
mths_since_recent_inq_recent_24m_flag,recent_inquiries,-3.8942902,9.606126
mths_since_recent_revol_delinq,delinquency_derogatory,11.860086,2.218552
mths_since_recent_revol_delinq_inverse_recency,delinquency_derogatory,11.576502,1.9427826
mths_since_recent_revol_delinq_missing_flag,missingness_or_unknown,-3.2713497,10.544937
mths_since_recent_revol_delinq_recent_12m_flag,delinquency_derogatory,-3.339034,10.22965
mths_since_recent_revol_delinq_recent_24m_flag,delinquency_derogatory,-3.457313,10.160257
mths_since_recent_revol_delinq_seasoned_60m_flag,delinquency_derogatory,-3.7399626,9.728582
num_accts_ever_120_pd,credit_risk_other_reviewed,10.414061,1.1138991
num_accts_ever_120_pd_is_zero,credit_risk_other_reviewed,-3.5088723,8.240673
num_accts_ever_120_pd_missing_flag,missingness_or_unknown,-1.1406958,11.20588
num_accts_ever_120_pd_per_credit_history_year,credit_history_length,10.969142,1.8531617
num_accts_ever_120_pd_per_open_acc,account_mix_credit_depth,10.903794,1.4904966
num_accts_ever_120_pd_per_total_acc,account_mix_credit_depth,10.923232,1.7626582
num_accts_ever_120_pd_positive_flag,credit_risk_other_reviewed,-3.4832606,8.163907
num_actv_bc_tl,bankcard_capacity,10.80181,3.0092854
num_actv_bc_tl_is_zero,bankcard_capacity,-2.7415018,6.7662587
num_actv_bc_tl_missing_flag,missingness_or_unknown,-0.8607446,11.152121
num_actv_bc_tl_per_credit_history_year,bankcard_capacity,12.809107,3.088221
num_actv_bc_tl_per_open_acc,bankcard_capacity,10.537284,3.6163628
num_actv_bc_tl_per_total_acc,bankcard_capacity,10.562553,3.933317
num_actv_bc_tl_positive_flag,bankcard_capacity,-2.7944243,6.6647215
num_actv_rev_tl,account_mix_credit_depth,11.119488,3.2638335
num_actv_rev_tl_is_zero,account_mix_credit_depth,-2.6475022,6.4958463
num_actv_rev_tl_missing_flag,missingness_or_unknown,-0.5275894,10.937683
num_actv_rev_tl_per_credit_history_year,credit_history_length,12.873573,3.085039
num_actv_rev_tl_per_open_acc,account_mix_credit_depth,10.616612,4.0061507
num_actv_rev_tl_per_total_acc,account_mix_credit_depth,10.823945,4.2553644
num_actv_rev_tl_positive_flag,account_mix_credit_depth,-2.5465147,6.5317607
num_bc_sats,bankcard_capacity,10.731137,3.305625
num_bc_sats_is_zero,bankcard_capacity,-2.8508377,6.6213756
num_bc_sats_missing_flag,missingness_or_unknown,-0.89999634,11.233444
num_bc_sats_per_credit_history_year,bankcard_capacity,12.751526,3.099337
num_bc_sats_per_open_acc,bankcard_capacity,10.524018,3.69053
num_bc_sats_per_total_acc,bankcard_capacity,10.553087,3.9006221
num_bc_sats_positive_flag,bankcard_capacity,-2.9276216,6.547858
num_bc_sats_share,bankcard_capacity,10.845733,2.8891292
num_bc_tl,bankcard_capacity,10.920788,2.9168332
num_bc_tl_is_zero,bankcard_capacity,-2.826486,6.771783
num_bc_tl_missing_flag,missingness_or_unknown,-1.0745295,11.139622
num_bc_tl_per_credit_history_year,bankcard_capacity,12.795162,3.0821187
num_bc_tl_per_open_acc,bankcard_capacity,10.536741,3.7626262
num_bc_tl_per_total_acc,bankcard_capacity,10.665742,3.8887296
num_bc_tl_positive_flag,bankcard_capacity,-2.8393285,6.66796
num_il_tl,account_mix_credit_depth,11.169204,3.6233964
num_il_tl_is_zero,account_mix_credit_depth,-2.7044306,6.732003
num_il_tl_missing_flag,missingness_or_unknown,-0.93425775,11.117922
num_il_tl_per_credit_history_year,credit_history_length,12.840526,3.1515932
num_il_tl_per_open_acc,account_mix_credit_depth,10.613249,4.038058
num_il_tl_per_total_acc,account_mix_credit_depth,10.873864,4.2685766
num_il_tl_positive_flag,account_mix_credit_depth,-2.8588493,6.7212434
num_op_rev_tl,account_mix_credit_depth,11.266613,4.1384673
num_op_rev_tl_is_zero,account_mix_credit_depth,-2.6770766,6.5347776
num_op_rev_tl_missing_flag,missingness_or_unknown,-0.39009503,10.814475
num_op_rev_tl_per_credit_history_year,credit_history_length,12.8799095,3.1321018
num_op_rev_tl_per_open_acc,account_mix_credit_depth,10.701613,4.1628075
num_op_rev_tl_per_total_acc,account_mix_credit_depth,10.848186,4.3221617
num_op_rev_tl_positive_flag,account_mix_credit_depth,-2.5506046,6.6251407
num_rev_accts,account_mix_credit_depth,11.1228285,3.8590224
num_rev_accts_is_zero,account_mix_credit_depth,-2.7379532,6.5764003
num_rev_accts_missing_flag,missingness_or_unknown,-1.01255,11.097818
num_rev_accts_per_credit_history_year,credit_history_length,12.879531,3.1514904
num_rev_accts_per_open_acc,account_mix_credit_depth,10.642809,4.105315
num_rev_accts_per_total_acc,account_mix_credit_depth,10.810177,4.3105693
num_rev_accts_positive_flag,account_mix_credit_depth,-2.802071,6.504045
num_rev_tl_bal_gt_0,balance_credit_limit_pressure,11.366251,3.2955942
